Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Ordered_Time_Hour,Ordered_Time_Minute,distance
28,4.5,Sandstorms,High,2,Meal,scooter,0.0,No,Metropolitian,16,14,50,6.0497653967074685
38,4.8,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,26,19,30,7.763197145328887
35,4.6,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,22,50,4.527973054243058
28,5.0,Cloudy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,39,18,10,10.703215446671855
35,4.4,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,41,20,30,7.573470125639189
27,5.0,Fog,Low,1,Snack,scooter,0.0,No,Urban,16,9,15,1.5263981914915925
24,4.9,Cloudy,Jam,2,Snack,scooter,2.0,Yes,Metropolitian,44,20,20,12.293207925868511
23,4.5,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,23,18,25,9.074836683459717
30,4.6,Cloudy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,36,21,0,9.314907489514155
37,4.5,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,48,19,15,17.09806123890409
21,4.7,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Metropolitian,28,17,40,7.7626058902454
29,5.0,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,38,20,30,12.29361121840287
29,4.8,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,21,23,40,10.880905305082544
31,4.6,Cloudy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,27,21,20,4.609743188391016
26,4.8,Fog,Low,2,Meal,scooter,1.0,No,Urban,13,8,10,1.5544659606035225
39,5.0,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,23,18,30,4.587356404161672
36,4.7,Stormy,Low,1,Snack,scooter,0.0,No,Metropolitian,28,23,40,17.098593053938863
32,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,22,30,9.315745106316244
39,5.0,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,19,22,25,7.761422437275375
25,4.8,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Metropolitian,12,23,40,7.562333809640329
34,4.5,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,22,30,10.90598905626876
31,4.7,Stormy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,26,20,15,20.25310137263237
21,4.7,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,18,21,20,4.657987774595948
30,4.2,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,33,19,15,4.717601092054723
33,3.8,Stormy,Jam,1,Buffet,scooter,1.0,Yes,Metropolitian,44,20,20,10.564405615161895
36,3.7,Sandstorms,Jam,2,Snack,scooter,1.0,No,Metropolitian,35,21,35,12.58026782240096
24,4.6,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,18,19,10,16.636744591831217
35,4.7,Cloudy,High,0,Drinks,motorcycle,0.0,No,Metropolitian,21,11,10,1.5300320235211
38,4.3,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26,10,50,1.5204704557283455
25,3.7,Sunny,High,0,Drinks,motorcycle,1.0,No,Metropolitian,44,13,10,6.147415198875052
28,5.0,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Urban,39,18,35,17.29786575291325
23,5.0,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,30,19,10,10.923515441756813
37,4.5,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,24,20,35,7.660582694185052
31,4.3,Sandstorms,Jam,1,Meal,motorcycle,3.0,No,Metropolitian,42,20,10,14.0451924616179
27,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,17,22,25,17.078665498349437
22,4.1,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,34,21,0,12.293677673573283
34,4.9,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,22,9,40,1.4898285870179706
37,4.8,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,19,21,0,4.589099458435952
27,5.0,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,20,21,0,7.862668167410368
20,4.7,Sunny,High,1,Meal,scooter,0.0,No,Urban,11,12,30,6.128501214162246
35,4.7,Windy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,29,21,0,3.064210028101302
22,4.6,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,19,30,13.406088270680277
35,3.8,Sandstorms,Jam,1,Buffet,motorcycle,1.0,Yes,Metropolitian,40,19,10,17.09799793130139
20,4.7,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Urban,18,21,0,9.363369184365062
36,4.8,Stormy,High,1,Drinks,scooter,1.0,No,Metropolitian,28,11,25,3.018906995736616
34,5.0,Sunny,Low,2,Meal,motorcycle,0.0,No,Metropolitian,14,8,10,3.10533227339685
30,4.3,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,40,21,0,14.15280068944862
